appearance_id,capture_date,bee_number,assigned_tag,tag_type,tag_id,status,image_count,angles,declared_tags,decoder_statuses,review_flags,source_assigned_tag,source_status,reviewed_tag,review_status,review_note,domain_status,analysis_included
2026-05-21/bee-12,2026-05-21,12,aruco:103,aruco,103,assigned,1,1,aruco:103,decoder_conflict,decoder_competition_or_disagreement,aruco:103,assigned,aruco:103,confirmed,,in_domain,true
2026-05-21/bee-13,2026-05-21,13,aruco:105,aruco,105,assigned,1,1,,decoder_found_id,decoder_competition_or_disagreement,,missing_tag,aruco:105,confirmed,,in_domain,true
2026-05-21/bee-14,2026-05-21,14,aruco:115,aruco,115,assigned,1,1,,decoder_found_id,decoder_competition_or_disagreement,,missing_tag,aruco:115,confirmed,,in_domain,true
2026-05-21/bee-15,2026-05-21,15,aruco:113,aruco,113,assigned,1,1,,decoder_found_id,decoder_competition_or_disagreement,,missing_tag,aruco:113,confirmed,,in_domain,true
2026-05-21/bee-16,2026-05-21,16,aruco:119,aruco,119,assigned,2,1;2,,decoder_found_id;no_tag_decoded,decoder_competition_or_disagreement;decoder_did_not_confirm_all_images,,missing_tag,aruco:119,confirmed,,in_domain,true
2026-05-21/bee-17,2026-05-21,17,aruco:116,aruco,116,assigned,2,1;2,aruco:116,decoder_confirmed,,aruco:116,assigned,aruco:116,confirmed,,in_domain,true
2026-05-21/bee-18,2026-05-21,18,aruco:110,aruco,110,assigned,2,1;2,,decoder_found_id;no_tag_decoded,decoder_competition_or_disagreement;decoder_did_not_confirm_all_images,,missing_tag,aruco:110,confirmed,,in_domain,true
2026-05-21/bee-19,2026-05-21,19,aruco:133,aruco,133,assigned,1,1,,decoder_found_id,decoder_competition_or_disagreement,,missing_tag,aruco:133,confirmed,,in_domain,true
2026-05-21/bee-20,2026-05-21,20,aruco:89,aruco,89,assigned,1,1,,decoder_found_id,decoder_competition_or_disagreement,,missing_tag,aruco:89,confirmed,,in_domain,true
2026-05-21/bee-21,2026-05-21,21,aruco:73,aruco,73,assigned,1,1,aruco:73,decoder_no_confirmation,decoder_did_not_confirm_all_images,aruco:73,assigned,aruco:73,confirmed,,in_domain,true
