tag_id,bee_number,first_assignment_date,recaptured,recapture_1_date,recapture_2_date,recapture_3_date
aruco:483,725,2026-06-16,true,2026-06-17,,
aruco:484,26,2026-06-22,false,,,
aruco:485,5,2026-06-23,false,,,
aruco:487,759,2026-06-16,false,,,
aruco:488,732,2026-06-16,false,,,
aruco:489,748,2026-06-16,false,,,
aruco:490,770,2026-06-16,true,2026-06-17,,
aruco:491,21,2026-06-16,false,,,
aruco:492,53,2026-06-22,true,2026-06-23,2026-06-24,
aruco:493,36,2026-06-17,false,,,
aruco:494,50,2026-06-22,false,,,
aruco:495,35,2026-06-22,false,,,
aruco:496,38,2026-06-16,false,,,
aruco:497,39,2026-06-16,false,,,
aruco:498,14,2026-06-23,false,,,
aruco:499,12,2026-06-24,false,,,
aruco:500,18,2026-06-22,false,,,
aruco:501,13,2026-06-23,false,,,
aruco:502,9,2026-06-22,true,2026-06-23,,
aruco:503,72,2026-06-17,false,,,
aruco:504,39,2026-06-23,false,,,
aruco:505,11,2026-06-23,false,,,
aruco:506,44,2026-06-23,false,,,
aruco:507,34,2026-06-22,false,,,
aruco:508,27,2026-06-22,true,2026-06-23,,
aruco:510,26,2026-06-17,false,,,
aruco:511,5,2026-06-24,false,,,
aruco:512,69,2026-06-17,false,,,
aruco:513,715,2026-06-16,false,,,
aruco:514,8,2026-06-17,false,,,
aruco:515,746,2026-06-16,false,,,
aruco:516,728,2026-06-16,false,,,
aruco:517,744,2026-06-16,false,,,
aruco:518,35,2026-06-16,false,,,
aruco:519,41,2026-06-17,true,2026-06-22,,
aruco:520,13,2026-06-16,false,,,
aruco:521,3,2026-06-23,false,,,
aruco:522,20,2026-06-22,false,,,
aruco:523,745,2026-06-16,false,,,
aruco:525,730,2026-06-16,false,,,
aruco:526,12,2026-06-23,false,,,
aruco:527,762,2026-06-16,false,,,
aruco:528,6,2026-06-24,false,,,
aruco:529,4,2026-06-24,false,,,
aruco:530,22,2026-06-24,false,,,
aruco:531,62,2026-06-17,false,,,
aruco:532,761,2026-06-16,false,,,
aruco:535,21,2026-06-23,false,,,
aruco:536,10,2026-06-16,true,2026-06-17,2026-06-22,
aruco:537,756,2026-06-16,false,,,
aruco:538,19,2026-06-17,false,,,
aruco:539,6,2026-06-17,true,2026-06-22,,
aruco:540,8,2026-06-24,false,,,
aruco:541,61,2026-06-17,false,,,
aruco:542,43,2026-06-23,false,,,
aruco:543,48,2026-06-22,false,,,
aruco:544,53,2026-06-17,false,,,
aruco:545,32,2026-06-22,false,,,
aruco:546,726,2026-06-16,false,,,
aruco:547,3,2026-06-24,false,,,
aruco:548,736,2026-06-16,false,,,
aruco:549,14,2026-06-24,false,,,
aruco:550,7,2026-06-24,false,,,
